Entity,Code,Year,"Health expenditure, private (% of GDP)","Health expenditure, public (% of GDP)"
Afghanistan,AFG,2002,7.2123498103069,0.550723349693097
Afghanistan,AFG,2003,8.20815301855031,0.607900411449694
Afghanistan,AFG,2004,7.81724842469336,0.969458795306644
Afghanistan,AFG,2005,7.26618517502382,0.801919174976177
Afghanistan,AFG,2006,6.37155151704114,1.06242003295885
Afghanistan,AFG,2007,6.20618027566277,0.522136074337234
Afghanistan,AFG,2008,6.94250928983089,1.38558405016911
Afghanistan,AFG,2009,6.83284386338264,2.58612677661736
Afghanistan,AFG,2010,6.34234622663813,2.85537650336187
Afghanistan,AFG,2011,5.79189922951505,2.08009266048495
Afghanistan,AFG,2012,5.59834667313982,2.92056600686017
Afghanistan,AFG,2013,5.48447167066433,2.65039388933567
Afghanistan,AFG,2014,5.24944009755562,2.93283372244438
Albania,ALB,1995,4.88407457467167,1.71300445532833
Albania,ALB,1996,5.68577680371952,1.74619754628048
Albania,ALB,1997,5.54359052523674,2.02450940476327
Albania,ALB,1998,4.84817145321902,2.09512775678097
Albania,ALB,1999,4.35801847343953,2.51017141656047
Albania,ALB,2000,3.99756644183973,2.25841795816027
Albania,ALB,2001,3.70791987116593,2.29222401883407
Albania,ALB,2002,4.04378758678423,2.25632589321577
Albania,ALB,2003,4.01490307861173,2.25210415138827
Albania,ALB,2004,3.70012981972392,2.67940487027608
Albania,ALB,2005,3.40985531679276,2.70645544320724
Albania,ALB,2006,3.28616015779203,2.57513609220797
Albania,ALB,2007,3.47476414994422,2.62917110005578
Albania,ALB,2008,3.17551770968872,2.69389845031128
Albania,ALB,2009,2.95776371707859,2.83357574292141
Albania,ALB,2010,2.85846698034215,2.47656802965785
Albania,ALB,2011,2.86549440007284,2.84917085992716
Albania,ALB,2012,2.85346874998118,2.73570410001882
Albania,ALB,2013,2.81915524420344,2.83598423579657
Albania,ALB,2014,2.94673215454404,2.93637327545596
Algeria,DZA,1995,1.02793017393526,2.67359435606474
Algeria,DZA,1996,0.846887160484184,2.50218251951582
Algeria,DZA,1997,1.04129199407516,2.55336573592484
Algeria,DZA,1998,1.06610139605023,2.52798038394977
Algeria,DZA,1999,1.05058365769438,2.38333129230562
Algeria,DZA,2000,0.930459699528884,2.55856124047112
Algeria,DZA,2001,0.86614769980658,2.97171746019342
Algeria,DZA,2002,0.877790139712013,2.85227361028799
Algeria,DZA,2003,0.7987897169482,2.8022370230518
Algeria,DZA,2004,0.977815187767994,2.56624807223201
Algeria,DZA,2005,0.954934935782999,2.280233074217
Algeria,DZA,2006,1.02026775931798,2.33485067068202
Algeria,DZA,2007,1.11584111881508,2.70557079118492
Algeria,DZA,2008,1.13910751686115,3.06280389313885
Algeria,DZA,2009,1.52145903017948,3.83796597982052
Algeria,DZA,2010,1.5239461539134,3.5932085260866
Algeria,DZA,2011,1.51719903249066,3.77572930750934
Algeria,DZA,2012,1.62286183032945,4.52025088967055
Algeria,DZA,2013,1.93602363138588,5.18835904861412
Algeria,DZA,2014,1.96303251044821,5.24414552955179
Andorra,AND,1995,1.8253165444614,3.9826832955386
Andorra,AND,1996,1.8586859872137,4.2356472227863
Andorra,AND,1997,1.84785152501761,4.29707049498239
Andorra,AND,1998,2.01834553099687,5.73758022900313
Andorra,AND,1999,1.79484260071688,3.93346563928312
Andorra,AND,2000,1.80475151319123,3.97654822680877
Andorra,AND,2001,1.8089834125,3.9797635075
Andorra,AND,2002,1.8630136986882,4.1095890413118
Andorra,AND,2003,1.79885309503363,3.94617981496637
Andorra,AND,2004,1.78762227045662,3.91626013954338
Andorra,AND,2005,1.76364429117443,3.45970884882557
Andorra,AND,2006,1.74777086730114,3.56612237269886
Andorra,AND,2007,1.74913286822206,4.58632291177794
Andorra,AND,2008,1.74233778090344,4.82507081909656
Andorra,AND,2009,1.72215248598143,5.03753714401857
Andorra,AND,2010,1.75723982309386,6.24202669690614
Andorra,AND,2011,1.77750218388556,4.92628930611444
Andorra,AND,2012,1.80029753272145,5.74703987727854
Andorra,AND,2013,1.78568960565423,9.69235679434577
Andorra,AND,2014,1.78568960620004,6.34144600379996
Angola,AGO,1995,1.79975973785657,4.65911821214343
Angola,AGO,1996,1.07495030577892,1.73978177422108
Angola,AGO,1997,1.46333985925588,2.01921944074412
Angola,AGO,1998,1.92089672075927,1.41470538924073
Angola,AGO,1999,1.24604639329818,2.13179778670182
Angola,AGO,2000,1.11006719606174,1.67721646393826
Angola,AGO,2001,2.57215432567534,2.81240339432466
Angola,AGO,2002,1.9487032082189,1.6852175417811
Angola,AGO,2003,2.36091506247445,2.04436935752555
Angola,AGO,2004,2.29947955487772,2.40784051512228
Angola,AGO,2005,2.07931364036576,2.02464637963424
Angola,AGO,2006,1.52000214467038,3.02243534532962
Angola,AGO,2007,1.1693476108495,2.2137640191505
Angola,AGO,2008,1.1285994978321,2.7163344521679
Angola,AGO,2009,1.70785657263892,2.66391720736108
Angola,AGO,2010,1.32989142638432,2.06125466361568
Angola,AGO,2011,1.2244884261322,2.1550942738678
Angola,AGO,2012,1.16747771667537,2.13731650332463
Angola,AGO,2013,1.18262329756933,3.08040839243067
Angola,AGO,2014,1.18207073517153,2.12491219482846
Antigua and Barbuda,ATG,1995,1.39726833666688,2.74634456333312
Antigua and Barbuda,ATG,1996,1.41516938608864,2.50580046391136
Antigua and Barbuda,ATG,1997,1.34190455140062,2.59740259859938
Antigua and Barbuda,ATG,1998,1.24814254267812,2.67206477732188
Antigua and Barbuda,ATG,1999,1.2168468848188,2.7442000451812
Antigua and Barbuda,ATG,2000,1.33724305021429,2.78780547978571
Antigua and Barbuda,ATG,2001,1.53463053736771,2.94975995263229
Antigua and Barbuda,ATG,2002,1.46355560577429,2.95023144422571
